ORDERNUMBER;ORDERITEM;PRODUCTID;PRODUCTDESCR;SALESQUANTITY
100037.0;10.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100037.0;20.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100037.0;30.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100037.0;40.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100037.0;50.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100037.0;60.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100037.0;70.0;DXRD1000  ;Moto 300                                          ;2.0
100037.0;80.0;DXRD2000  ;Moto 450                                          ;1.0
100037.0;90.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100039.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100039.0;20.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100039.0;30.0;ORMN1000  ;Men's Off Road Bike Fully                         ;1.0
100039.0;40.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100039.0;50.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100039.0;60.0;DXRD1000  ;Moto 300                                          ;1.0
100039.0;70.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100040.0;10.0;DXTR1000  ;Deluxe Touring Bike (black)                       ;1.0
100040.0;20.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
100040.0;30.0;DXTR3000  ;Deluxe Touring Bike (red)                         ;1.0
100040.0;40.0;PRTR1000  ;Professional Touring Bike (black)                 ;1.0
100040.0;50.0;PRTR2000  ;Professional Touring Bike (silver)                ;1.0
100040.0;60.0;ORWN1000  ;Women's Off Road Bike Fully                       ;1.0
100040.0;70.0;ORHT1000  ;Enduro 550 (red)                                  ;1.0
100040.0;80.0;ORHT2000  ;Enduro 550 (silver)                               ;1.0
100040.0;90.0;DXRD1000  ;Moto 300                                          ;2.0
100040.0;100.0;PRRD1000  ;Professional Road Bike (red)                      ;1.0
100041.0;10.0;DXRD1000  ;Moto 300                                          ;1.0
100042.0;10.0;DXTR2000  ;Deluxe Touring Bike (silver)                      ;1.0
